path,participant_id,sequence_id,sign
train_landmark_files/26734/1000035562.parquet,26734,1000035562,blow
train_landmark_files/25571/1000210073.parquet,25571,1000210073,bird
train_landmark_files/26734/1000241583.parquet,26734,1000241583,duck
train_landmark_files/32319/1000278229.parquet,32319,1000278229,lips
train_landmark_files/37055/100035691.parquet,37055,100035691,flower
train_landmark_files/28656/1000862366.parquet,28656,1000862366,dry
train_landmark_files/27610/1000956928.parquet,27610,1000956928,owl
train_landmark_files/53618/1001363076.parquet,53618,1001363076,closet
train_landmark_files/53618/1001379621.parquet,53618,1001379621,brother
train_landmark_files/61333/1001819372.parquet,61333,1001819372,balloon
train_landmark_files/53618/100190623.parquet,53618,100190623,cry
train_landmark_files/28656/1001913464.parquet,28656,1001913464,owl
train_landmark_files/28656/1001919956.parquet,28656,1001919956,orange
train_landmark_files/62590/1002055891.parquet,62590,1002055891,dry
train_landmark_files/2044/1002091184.parquet,2044,1002091184,duck
train_landmark_files/2044/1002092995.parquet,2044,1002092995,blow
train_landmark_files/62590/1002160015.parquet,62590,1002160015,wake
train_landmark_files/62590/1002203166.parquet,62590,1002203166,bee
train_landmark_files/28656/1002298936.parquet,28656,1002298936,flower
train_landmark_files/37779/1002526690.parquet,37779,1002526690,bee
train_landmark_files/28656/1002619089.parquet,28656,1002619089,old
train_landmark_files/62590/1002711645.parquet,62590,1002711645,look
train_landmark_files/62590/1002885072.parquet,62590,1002885072,alligator
train_landmark_files/18796/1002976391.parquet,18796,1002976391,closet
train_landmark_files/28656/1003023196.parquet,28656,1003023196,find
train_landmark_files/61333/1003093029.parquet,61333,1003093029,pizza
train_landmark_files/37055/1003109377.parquet,37055,1003109377,shhh
train_landmark_files/28656/1003351443.parquet,28656,1003351443,wake
train_landmark_files/53618/1003370644.parquet,53618,1003370644,man
train_landmark_files/62590/1003498206.parquet,62590,1003498206,sun
train_landmark_files/28656/1003656851.parquet,28656,1003656851,first
train_landmark_files/37055/1003705747.parquet,37055,1003705747,brother
train_landmark_files/37055/100393298.parquet,37055,100393298,uncle
train_landmark_files/26734/1004212902.parquet,26734,1004212902,nap
train_landmark_files/29302/1004285193.parquet,29302,1004285193,brother
train_landmark_files/22343/1004302418.parquet,22343,1004302418,sad
train_landmark_files/16069/100438640.parquet,16069,100438640,penny
train_landmark_files/30680/1004525587.parquet,30680,1004525587,gift
train_landmark_files/49445/1004659234.parquet,49445,1004659234,who
train_landmark_files/37779/1004670955.parquet,37779,1004670955,think
train_landmark_files/29302/100475774.parquet,29302,100475774,look
train_landmark_files/2044/1004782423.parquet,2044,1004782423,look
train_landmark_files/55372/1004789884.parquet,55372,1004789884,brown
train_landmark_files/2044/1004871290.parquet,2044,1004871290,mad
train_landmark_files/27610/100498908.parquet,27610,100498908,drink
train_landmark_files/55372/1005052722.parquet,55372,1005052722,tooth
train_landmark_files/34503/1005088445.parquet,34503,1005088445,awake
train_landmark_files/25571/1005153432.parquet,25571,1005153432,brown
train_landmark_files/16069/1005492440.parquet,16069,1005492440,old
train_landmark_files/32319/1005865446.parquet,32319,1005865446,orange
train_landmark_files/36257/1005866711.parquet,36257,1005866711,food
train_landmark_files/62590/1005973605.parquet,62590,1005973605,sad
train_landmark_files/37055/1006223282.parquet,37055,1006223282,pretty
train_landmark_files/55372/1006402771.parquet,55372,1006402771,nuts
train_landmark_files/37779/1006573792.parquet,37779,1006573792,frog
train_landmark_files/49445/1006585242.parquet,49445,1006585242,owl
train_landmark_files/4718/1006690809.parquet,4718,1006690809,bird
train_landmark_files/62590/100728423.parquet,62590,100728423,bye
train_landmark_files/29302/1007439131.parquet,29302,1007439131,tiger
train_landmark_files/61333/1007466376.parquet,61333,1007466376,duck
train_landmark_files/36257/1007470312.parquet,36257,1007470312,pencil
train_landmark_files/16069/1007589714.parquet,16069,1007589714,sleepy
train_landmark_files/37779/1007636570.parquet,37779,1007636570,tooth
train_landmark_files/61333/1007883975.parquet,61333,1007883975,alligator
train_landmark_files/37779/1007961507.parquet,37779,1007961507,cry
train_landmark_files/37055/1008067715.parquet,37055,1008067715,pretty
train_landmark_files/28656/1008105275.parquet,28656,1008105275,nuts
train_landmark_files/29302/10081088.parquet,29302,10081088,lips
train_landmark_files/49445/1008318688.parquet,49445,1008318688,farm
train_landmark_files/2044/1008623492.parquet,2044,1008623492,sleepy
train_landmark_files/25571/1008787040.parquet,25571,1008787040,cry
train_landmark_files/26734/1008843441.parquet,26734,1008843441,blow
train_landmark_files/61333/1008866094.parquet,61333,1008866094,donkey
train_landmark_files/55372/1008888999.parquet,55372,1008888999,lion
train_landmark_files/4718/1008893190.parquet,4718,1008893190,dry
train_landmark_files/2044/1009015092.parquet,2044,1009015092,nap
train_landmark_files/61333/1009072101.parquet,61333,1009072101,pretty
train_landmark_files/27610/1009119274.parquet,27610,1009119274,gift
train_landmark_files/28656/1009252695.parquet,28656,1009252695,balloon
train_landmark_files/61333/1009349839.parquet,61333,1009349839,food
train_landmark_files/28656/1009548198.parquet,28656,1009548198,lips
train_landmark_files/2044/1009580605.parquet,2044,1009580605,dry
train_landmark_files/16069/1009615872.parquet,16069,1009615872,aunt
train_landmark_files/18796/1009688574.parquet,18796,1009688574,tiger
train_landmark_files/26734/101019962.parquet,26734,101019962,tooth
train_landmark_files/26734/1010447253.parquet,26734,1010447253,pretend
train_landmark_files/25571/1010464507.parquet,25571,1010464507,kitty
train_landmark_files/62590/1010691183.parquet,62590,1010691183,fireman
train_landmark_files/27610/1010770134.parquet,27610,1010770134,doll
train_landmark_files/36257/1011089379.parquet,36257,1011089379,kiss
train_landmark_files/61333/1011181704.parquet,61333,1011181704,bee
train_landmark_files/55372/1011293231.parquet,55372,1011293231,loud
train_landmark_files/37055/1011397240.parquet,37055,1011397240,listen
train_landmark_files/37055/1011439533.parquet,37055,1011439533,old
train_landmark_files/27610/101159897.parquet,27610,101159897,old
train_landmark_files/34503/1011932931.parquet,34503,1011932931,gum
train_landmark_files/49445/1011951727.parquet,49445,1011951727,hear
train_landmark_files/37779/1012413496.parquet,37779,1012413496,sad
train_landmark_files/62590/101254820.parquet,62590,101254820,donkey
train_landmark_files/18796/1012858295.parquet,18796,1012858295,pencil
train_landmark_files/36257/1012920213.parquet,36257,1012920213,pen
train_landmark_files/18796/101294429.parquet,18796,101294429,yesterday
train_landmark_files/32319/1012950600.parquet,32319,1012950600,sad
train_landmark_files/62590/1013089308.parquet,62590,1013089308,pretend
train_landmark_files/34503/1013245879.parquet,34503,1013245879,first
train_landmark_files/28656/1013307113.parquet,28656,1013307113,pen
train_landmark_files/18796/1013323013.parquet,18796,1013323013,duck
train_landmark_files/62590/1013326498.parquet,62590,1013326498,horse
train_landmark_files/55372/1013367191.parquet,55372,1013367191,donkey
train_landmark_files/4718/1013423308.parquet,4718,1013423308,closet
train_landmark_files/22343/1013540347.parquet,22343,1013540347,loud
train_landmark_files/37779/1013580084.parquet,37779,1013580084,loud
train_landmark_files/37779/1013612636.parquet,37779,1013612636,orange
train_landmark_files/55372/1013626252.parquet,55372,1013626252,eye
train_landmark_files/22343/1013684724.parquet,22343,1013684724,aunt
train_landmark_files/55372/1013853098.parquet,55372,1013853098,talk
train_landmark_files/53618/1014231677.parquet,53618,1014231677,wake
train_landmark_files/2044/1014380301.parquet,2044,1014380301,doll
train_landmark_files/32319/1014492439.parquet,32319,1014492439,kiss
train_landmark_files/53618/101474393.parquet,53618,101474393,pencil
train_landmark_files/49445/1014762780.parquet,49445,1014762780,up
train_landmark_files/62590/101481172.parquet,62590,101481172,kitty
train_landmark_files/29302/1014838286.parquet,29302,1014838286,pretty
train_landmark_files/26734/1015074417.parquet,26734,1015074417,duck
train_landmark_files/29302/101535055.parquet,29302,101535055,gift
train_landmark_files/62590/1015438209.parquet,62590,1015438209,taste
train_landmark_files/34503/1015703209.parquet,34503,1015703209,sun
train_landmark_files/36257/1015971577.parquet,36257,1015971577,penny
train_landmark_files/61333/1016094606.parquet,61333,1016094606,kiss
train_landmark_files/36257/1016095044.parquet,36257,1016095044,because
train_landmark_files/61333/1016178453.parquet,61333,1016178453,mad
train_landmark_files/53618/1016188683.parquet,53618,1016188683,because
train_landmark_files/22343/101620264.parquet,22343,101620264,yesterday
train_landmark_files/26734/1016357067.parquet,26734,1016357067,first
train_landmark_files/2044/101647228.parquet,2044,101647228,cat
train_landmark_files/28656/1016730489.parquet,28656,1016730489,brother
train_landmark_files/55372/101697989.parquet,55372,101697989,listen
train_landmark_files/18796/1017029978.parquet,18796,1017029978,shhh
train_landmark_files/53618/1017084612.parquet,53618,1017084612,closet
train_landmark_files/32319/1017105712.parquet,32319,1017105712,mouse
train_landmark_files/28656/101711203.parquet,28656,101711203,drink
train_landmark_files/62590/1017601410.parquet,62590,1017601410,gum
train_landmark_files/18796/1017846424.parquet,18796,1017846424,doll
train_landmark_files/16069/1017994904.parquet,16069,1017994904,food
train_landmark_files/61333/1018651515.parquet,61333,1018651515,nap
train_landmark_files/30680/1018737451.parquet,30680,1018737451,sun
train_landmark_files/32319/1018744120.parquet,32319,1018744120,pen
train_landmark_files/18796/1019274093.parquet,18796,1019274093,uncle
train_landmark_files/18796/1019494452.parquet,18796,1019494452,bird
train_landmark_files/34503/1019518672.parquet,34503,1019518672,mom
train_landmark_files/62590/1019811096.parquet,62590,1019811096,loud
train_landmark_files/49445/1019972081.parquet,49445,1019972081,airplane
train_landmark_files/25571/102010923.parquet,25571,102010923,yesterday
train_landmark_files/49445/1020308865.parquet,49445,1020308865,up
train_landmark_files/29302/1020325960.parquet,29302,1020325960,mad
train_landmark_files/36257/1020396165.parquet,36257,1020396165,brown
train_landmark_files/18796/1020431771.parquet,18796,1020431771,icecream
train_landmark_files/27610/1020513347.parquet,27610,1020513347,look
train_landmark_files/62590/1020636691.parquet,62590,1020636691,airplane
train_landmark_files/62590/1020690251.parquet,62590,1020690251,taste
train_landmark_files/27610/1021102195.parquet,27610,1021102195,owl
train_landmark_files/36257/1021205595.parquet,36257,1021205595,cow
train_landmark_files/26734/1021210160.parquet,26734,1021210160,orange
train_landmark_files/30680/1021381332.parquet,30680,1021381332,brother
train_landmark_files/27610/1021439238.parquet,27610,1021439238,penny
train_landmark_files/55372/1021460879.parquet,55372,1021460879,lion
train_landmark_files/53618/1021561409.parquet,53618,1021561409,brown
train_landmark_files/26734/1021570461.parquet,26734,1021570461,dry
train_landmark_files/37055/1021653641.parquet,37055,1021653641,pretend
train_landmark_files/49445/1021884782.parquet,49445,1021884782,dry
train_landmark_files/18796/1022069907.parquet,18796,1022069907,donkey
train_landmark_files/61333/102207132.parquet,61333,102207132,pretty
train_landmark_files/25571/1022152273.parquet,25571,1022152273,up
train_landmark_files/36257/1022238114.parquet,36257,1022238114,hear
train_landmark_files/61333/1022328281.parquet,61333,1022328281,mouth
train_landmark_files/28656/1022664925.parquet,28656,1022664925,eye
train_landmark_files/55372/1022731463.parquet,55372,1022731463,farm
train_landmark_files/2044/1022861015.parquet,2044,1022861015,orange
train_landmark_files/27610/1022982616.parquet,27610,1022982616,pizza
train_landmark_files/37055/1023066801.parquet,37055,1023066801,gift
train_landmark_files/34503/1023107599.parquet,34503,1023107599,bee
train_landmark_files/18796/1023157153.parquet,18796,1023157153,shhh
train_landmark_files/49445/1023395451.parquet,49445,1023395451,balloon
train_landmark_files/49445/1023585966.parquet,49445,1023585966,bye
train_landmark_files/37055/1023658142.parquet,37055,1023658142,horse
train_landmark_files/32319/1023886398.parquet,32319,1023886398,closet
train_landmark_files/26734/1023936310.parquet,26734,1023936310,closet
train_landmark_files/18796/1024010450.parquet,18796,1024010450,look
train_landmark_files/16069/1024145381.parquet,16069,1024145381,dry
train_landmark_files/49445/102425033.parquet,49445,102425033,mouth
train_landmark_files/34503/102431712.parquet,34503,102431712,icecream
train_landmark_files/28656/1024384339.parquet,28656,1024384339,owl
train_landmark_files/29302/102447911.parquet,29302,102447911,cow
train_landmark_files/2044/1024506547.parquet,2044,1024506547,uncle
train_landmark_files/16069/1024548724.parquet,16069,1024548724,cry
train_landmark_files/2044/1024673535.parquet,2044,1024673535,make
train_landmark_files/37779/1024817462.parquet,37779,1024817462,fireman
train_landmark_files/16069/1024902370.parquet,16069,1024902370,glasswindow
train_landmark_files/26734/1024971670.parquet,26734,1024971670,bye
train_landmark_files/29302/1024991396.parquet,29302,1024991396,pizza
train_landmark_files/29302/102499449.parquet,29302,102499449,lips
train_landmark_files/36257/1024994942.parquet,36257,1024994942,cow
train_landmark_files/29302/1025214855.parquet,29302,1025214855,lips
train_landmark_files/34503/1025236508.parquet,34503,1025236508,food
train_landmark_files/25571/1025250464.parquet,25571,1025250464,bird
train_landmark_files/28656/1025265392.parquet,28656,1025265392,talk
train_landmark_files/61333/1025291620.parquet,61333,1025291620,man
train_landmark_files/49445/1025406501.parquet,49445,1025406501,pencil
train_landmark_files/16069/1025416543.parquet,16069,1025416543,find
train_landmark_files/37055/1025510427.parquet,37055,1025510427,duck
train_landmark_files/2044/1025699944.parquet,2044,1025699944,pencil
train_landmark_files/34503/1025998316.parquet,34503,1025998316,alligator
train_landmark_files/18796/1026057601.parquet,18796,1026057601,mad
train_landmark_files/16069/1026300846.parquet,16069,1026300846,food
train_landmark_files/49445/1026329560.parquet,49445,1026329560,listen
train_landmark_files/32319/1026526321.parquet,32319,1026526321,owl
train_landmark_files/18796/1026568164.parquet,18796,1026568164,man
train_landmark_files/27610/1026705487.parquet,27610,1026705487,awake
